Longitude,Latitude,Altitude Cartesian3 format.
Block 9: 85.53903875265267,27.619924644794086,1451.801328700104
Block 8: 85.53940841457984,27.619588178774414,1453.0893848424332
Block 7:85.53954460345712,27.619270853620513,1451.4229689271863
Block 6:85.53927933680691,27.6189731811361,1457.709326187914
Multiputpose Hall: 85.53724899350867,27.619391872948153,1442.6060064717171
Libaray:85.53859180782936,27.618935137448055,1467.5981547800166
Administrataive:85.53857171581157,27.619582772625428,1463.922842208704
Lawn:85.53858923850397,27.619322089755887,1466.9051509894798
Canteen:85.53888642698891,27.61929934674078,1466.5387767709005
KU Cafe:85.53833073177779,27.61846121894616,1459.7594307608372
Block to left of KU Cafe:85.53810321454411,27.618949278816622,1461.3806099036087
Block to left of left of KU Cafe:85.53808290648848,27.61927147761533,1461.4358570347702
Block to left of left of left of KU Cafe:85.53810083729793,27.619721743317807,1459.061302458295
NTIC:85.53530879965132,27.61734661610735,1428.971358440048
WorkShop:85.53490191219434,27.617668553357746,1418.8357838361221
Boys Hostel:85.53669424902395,27.617772679743478,1443.10014076079
Girsl Hostel:85.53925547189561, 27.618126378701316,1456.3038866560905
Bank:85.53899247617747,27.617455700373004,1463.4391185326765
Foreign Hostel:85.53939531682298,27.6176920575628,1459.6210065497776
Ground:85.5369597379473,27.61863276437187,1433.335048537352
TTC:85.53775806534156,27.62010026775487,1452.6640197971426

